gname         alias          ra            dec           plx   e_plx mux    e_mux muy    e_muy vlsr e_vlsr ref        
G111.23-01.23 None           23:17:20.7888 +59:28:46.970 0.300 0.081 -4.370 0.600 -2.380 0.600  -53     10 28         
G111.54+00.77 NGC7538        23:13:45.3600 +61:28:10.550 0.378 0.017 -2.450 0.400 -2.440 0.400  -57      5 30         
G136.84+01.16 None           02:49:33.6070 +60:48:27.680 0.470 0.115  0.420 0.500 -0.430 0.500  -42      5 58         
G182.67-03.26 None           05:39:28.4248 +24:56:31.946 0.157 0.042  0.440 0.350 -0.450 0.360   -7     10 27         
G188.79+01.03 IRAS06061-2151 06:09:06.9750 +21:50:41.400 0.496 0.103 -0.100 0.500 -3.910 0.500   -5      5 39         
G000.31-00.20 G000.31-0.20   17:47:09.1092 -28:46:16.278 0.342 0.042  0.210 0.390 -1.760 0.640   18      3 53         
G005.88-00.39 G005.88-0.39   18:00:30.2801 -24:04:04.576 0.334 0.020  0.180 0.340 -2.260 0.340    9      5 4          
G006.79-00.25 G006.79-0.25   18:01:57.7525 -23:12:34.245 0.288 0.021 -0.300 0.300 -1.300 0.310   22      5 59         
G007.47+00.05 G007.47+0.05   18:02:13.1823 -22:27:58.981 0.049 0.007 -2.430 0.100 -4.430 0.160  -14     10 62,63      
G008.34-01.00 VXSgr          18:08:04.0510 -22:13:26.566 0.640 0.040  0.360 0.760 -2.920 0.780    5      5 64         
G011.10-00.11 G011.10-0.10   18:10:28.2470 -19:22:30.216 0.364 0.027 -0.200 0.380 -2.000 0.410   29      5 53         
G011.49-01.48 G011.50-1.49   18:16:22.1327 -19:41:27.219 0.800 0.033  1.420 0.520 -0.600 0.650   11      3 2          
G011.91-00.61 G011.91-0.61   18:13:58.1205 -18:54:20.278 0.297 0.050  0.660 0.690 -1.360 0.750   37      5 4          
G012.68-00.18 W33B           18:13:54.7457 -18:01:46.588 0.416 0.028 -1.000 0.950 -2.850 0.950   58     10 8          
G012.81-00.19 W33M           18:14:14.0600 -17:55:11.300 0.343 0.037 -0.400 0.700 -0.250 0.700   34      5 8          
G012.88+00.48 W33A           18:11:51.4450 -17:31:29.412 0.404 0.044  0.150 0.430 -2.300 0.520   35      7 8,10       
G012.90-00.24 W33A           18:14:34.4366 -17:51:51.891 0.408 0.025  0.190 0.400 -2.520 0.400   36      5 8          
