Catalog,GLong,GLat,Radius,Comments,Group_Flag,Group,Name,Alias,Simbad_comments,VGPSExclude,MagpisExclude,Parallax_Name,Magpis,NVSS,Cornish,Yusef20cmGC,LangRadio,LangPaschen,THOR,SMGPS,MeerKATGC,GName,RA (J2000),Dec (J2000),Name_Split,Name_Observed,GName_Observed,GLong_Observed,GLat_Observed,RA (J2000)_Observed,Dec (J2000)_Observed,TL,e_TL,FWHM,e_FWHM,VLSR,e_VLSR,VLSR_He,e_VLSR_He,FWHM_He,e_FWHM_He,TL_He,e_TL_He,VLSR_C,e_VLSR_C,FWHM_C,e_FWHM_C,TL_C,e_TL_C,Telescope,Resolution,Wavelength,Frequency,Author,Year,VLSR2,e_VLSR2,FWHM2,e_FWHM2,TL2,e_TL2,VLSR3,e_VLSR3,FWHM3,e_FWHM3,TL3,e_TL3,VLSR4,e_VLSR4,FWHM4,e_FWHM4,TL4,e_TL4,Name_Split_Observed,Name_Te,GName_Te,GLong_Te,GLat_Te,RA (J2000)_Te,Dec (J2000)_Te,Author_Te,Year_Te,Te,e_Te,y,e_y,Name_Split_Te,Name_Real_VLSR,GName_Real_VLSR,GLong_Real_VLSR,GLat_Real_VLSR,RA (J2000)_Real_VLSR,Dec (J2000)_Real_VLSR,Author_Real_VLSR,Year_Real_VLSR,Real_VLSR,Name_Split_Real_VLSR,Name_KDAR,GName_KDAR,GLong_KDAR,GLat_KDAR,RA (J2000)_KDAR,Dec (J2000)_KDAR,Author_KDAR,Year_KDAR,KDAR,DMethod,Name_Split_KDAR,GLIMPSE_Flux,GLIMPSE_e_Flux,GLIMPSE_Area,GLIMPSE_Saturation,MIPSGal_Flux,MIPSGal_e_Flux,MIPSGal_Area,MIPSGal_Saturation,WISE3_Flux,WISE3_e_Flux,WISE3_Area,WISE3_Saturation,WISE4_Flux,WISE4_e_Flux,WISE4_Area,WISE4_Saturation,HiGal70_Flux,HiGal70_e_Flux,HiGal70_Area,HiGal70_Saturation,HiGal160_Flux,HiGal160_e_Flux,HiGal160_Area,HiGal160_Saturation,VGPS_Flux,VGPS_e_Flux,VGPS_Area,VGPS_Saturation,MAGPIS_Flux,MAGPIS_e_Flux,MAGPIS_Area,GLong_Radio_Continuum,GLat_Radio_Continuum,RA (J2000)_Radio_Continuum,Dec (J2000)_Radio_Continuum,Author_Radio_Continuum,Year_Radio_Continuum,Match_Distance,GLong_Molecular,GLat_Molecular,RA (J2000)_Molecular,Dec (J2000)_Molecular,VLSR_Molecular,Molecule_Molecular,Author_Molecular,Year_Molecular,GName_Parallax,Alias_Parallax,RA (J2000)_Parallax,Dec (J2000)_Parallax,Parallax,e_Parallax,mux,e_mux,muy,e_muy,VLSR_Parallax,e_VLSR_Parallax,Author_Parallax,Name_Split_Parallax,spectrum_x,spectrum_y,Group_VLSR,Group_e_VLSR,Group_KDAR
C,10.3951,2.22124,261.821,,0,,FQ147,,,0,1,,0,0,0,0,0,0,0,0,0,G010.395+02.221,270.09227187233785,-18.855507976884695,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,10.4001,-0.0334962,15.9686,,0,,,,,0,0,,0,0,0,0,0,0,0,1,0,G010.400-00.034,272.1784973166361,-19.956515867016186,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,10.4234,0.0439983,35.2135,,0,,,,,0,0,,0,0,0,0,0,0,0,1,0,G010.423+00.043,272.1184353859459,-19.898551103880955,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,10.4415,0.0127692,53.5835,,1,G10.462+0.033;G10.46+0.03;G010.458+00.024,G10.440+0.011;G010.441+00.012,,,0,0,G010.47+00.02,0,0,0,0,0,0,0,1,0,G010.441+00.012,272.15681561122926,-19.89787323551224,['G010.47+00.02'],G10.440+0.011,G010.440+00.011,10.44,0.011,272.1576873166271,-19.90004308035288,0.02709,0.00395,15.34,2.59,71.67,1.1,,,,,,,,,,,,,VLA/Effelsberg,0.42,5.3,5.7,Khan et al. (2024),2024.0,,,,,,,,,,,,,,,,,,,['G10.440+0.011'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4405,0.0108,272.1581312294903,-19.899702827583823,Urquhart et al. (2009),2009.0,0.002208562573258654,,,,,,,,,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,71.88,0.84,F
K,10.453,0.0297818,31.621,,0,,G10.46+0.03;G010.458+00.024,,,0,0,G010.47+00.02,0,0,0,0,0,0,0,1,0,G010.453+00.029,272.1469263521275,-19.87956478358085,['G010.47+00.02'],G10.46+0.03,G010.463+00.034,10.462607789048054,0.033939995869921996,272.14802253852196,-19.86914036763684,0.6902,0.05184999999999999,21.9,0.7,70.2,0.3,,,,,,,,,,,,,GBT,2.5,6.0,5.0,Sewilo et al. (2004),2004.0,,,,,,,,,,,,,,,,,,,['G10.46+0.03'],,,,,,,,,,,,,,,,,,,,,,,,G10.46+0.03,G010.463+00.034,10.462607789048054,0.033939995869921996,272.14802253852196,-19.86914036763684,Sewilo et al. (2004),2004.0,F,H2CO/Kin,['G10.46+0.03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,,,
K,10.4539,-0.0053181,42.5002,,1,G10.462+0.033;G10.46+0.03;G010.458+00.024,G010.453-00.006,,,0,0,G010.47+00.02,1,0,0,0,0,0,0,1,0,G010.453-00.006,272.1800330216971,-19.895800461492257,['G010.47+00.02'],G010.453-00.006,G010.455-00.005,10.455,-0.005,272.1803043994344,-19.89468418630609,0.0626,0.0015,23.8,0.7,69.1,0.3,,,,,,,,,,,,,GBT,2.65,5.76,5.21,Linville et al. (2023),2023.0,42.3,0.7,30.1,1.5,0.0297,0.0006,,,,,,,,,,,,,['G010.453-00.006'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,71.88,0.84,F
K,10.4622,0.0342831,13.7745,,0,,G10.462+0.033;G10.46+0.03;G010.458+00.024,,,0,0,G010.47+00.02,1,0,0,0,0,0,0,1,0,G010.462+00.034,272.1474859869864,-19.869336162928704,['G010.47+00.02'],G10.462+0.033,G010.462+00.033,10.462,0.033,272.14857590658517,-19.870133439744137,0.0255,0.00174,25.13,1.98,71.88,0.84,,,,,,,,,,,,,VLA/Effelsberg,0.42,5.3,5.7,Khan et al. (2024),2024.0,,,,,,,,,,,,,,,,,,,['G10.462+0.033'],,,,,,,,,,,,,,,,,,,,,,,,G10.46+0.03,G010.463+00.034,10.462607789048054,0.033939995869921996,272.14802253852196,-19.86914036763684,Sewilo et al. (2004),2004.0,F,H2CO/Kin,['G10.46+0.03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005021826919558277,10.466,0.031,272.15249857587855,-19.86760558254866,   68.9,CS,"Bronfman, Nyman, & May (1996)",1996.0,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,,,
K,10.4641,0.0291089,15.8677,,0,,G10.46+0.03;G010.458+00.024,,,0,0,G010.47+00.02,1,0,0,0,0,0,0,1,0,G010.464+00.029,272.1532771107068,-19.870184371960992,['G010.47+00.02'],G10.46+0.03,G010.463+00.034,10.462607789048054,0.033939995869921996,272.14802253852196,-19.86914036763684,0.6902,0.05184999999999999,21.9,0.7,70.2,0.3,,,,,,,,,,,,,GBT,2.5,6.0,5.0,Sewilo et al. (2004),2004.0,,,,,,,,,,,,,,,,,,,['G10.46+0.03'],,,,,,,,,,,,,,,,,,,,,,,,G10.46+0.03,G010.463+00.034,10.462607789048054,0.033939995869921996,272.14802253852196,-19.86914036763684,Sewilo et al. (2004),2004.0,F,H2CO/Kin,['G10.46+0.03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002680719905174107,10.466,0.031,272.15249857587855,-19.86760558254866,   68.9,CS,"Bronfman, Nyman, & May (1996)",1996.0,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,,,
G,10.469,0.0236575,9.5134,,1,G10.462+0.033;G10.46+0.03;G010.458+00.024,,,,0,0,G010.47+00.02,1,0,0,0,0,0,0,1,0,G010.469+00.023,272.16087315419196,-19.868543289955877,['G010.47+00.02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005065057378747831,10.4723,0.0275,272.1590019680757,-19.863793784408905,66.66,NH3,Wienen et al. (2012),2012.0,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,71.88,0.84,F
G,10.4721,0.0266142,18.9327,,1,G10.462+0.033;G10.46+0.03;G010.458+00.024,,,,0,0,G010.47+00.02,1,0,0,0,0,0,0,1,0,G010.472+00.026,272.159722481476,-19.86439830122871,['G010.47+00.02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009080978141150448,10.4723,0.0275,272.1590019680757,-19.863793784408905,66.66,NH3,Wienen et al. (2012),2012.0,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,71.88,0.84,F
K,10.4726,0.0176017,22.7631,,0,,LA1009,,,0,0,G010.47+00.02,0,0,0,0,0,0,0,1,0,G010.472+00.017,272.168360724574,-19.868331893310657,['G010.47+00.02'],LA1009,G010.473+0.028,10.473,0.028,272.1588980306192,-19.86293912419094,0.0892,0.0005,21.9,0.2,68.5,0.1,,,,,,,,,,,,,GBT,1.3,3.0,9.0,Anderson et al. (2011),2011.0,,,,,,,,,,,,,,,,,,,['LA1009'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,,,
G,10.4756,0.0316036,18.9327,,1,G10.462+0.033;G10.46+0.03;G010.458+00.024,,,,0,0,G010.47+00.02,1,0,0,0,0,0,0,1,0,G010.475+00.031,272.1568881229417,-19.858917622457216,['G010.47+00.02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005265883872627287,10.4723,0.0275,272.1590019680757,-19.863793784408905,66.66,NH3,Wienen et al. (2012),2012.0,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,71.88,0.84,F
C,10.4795,0.0693939,18.5951,,0,,,,,0,0,,0,0,0,0,0,0,0,1,0,G010.479+00.069,272.1237664039724,-19.837175163301083,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,10.4861,0.0425822,13.3546,,0,,,,,0,0,,0,0,0,0,0,0,0,1,0,G010.486+00.042,272.15209530666897,-19.844410468310038,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,10.4976,0.028074,34.2407,,1,G10.462+0.033;G10.46+0.03;G010.458+00.024,G010.497+00.028,,,0,0,G010.47+00.02,1,0,0,0,0,0,0,1,0,G010.497+00.028,272.17151329889435,-19.84138979395913,['G010.47+00.02'],G010.497+00.028,G010.498+00.029,10.498,0.029,272.17085857840215,-19.84059092071635,0.0429,0.0008,24.0,0.6,66.6,0.2,,,,,,,,,,,,,GBT,2.65,5.76,5.21,Linville et al. (2023),2023.0,44.5,0.3,21.0,0.8,0.027,0.0004,,,,,,,,,,,,,['G010.497+00.028'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.47+00.02,,18:08:38.2290,-19:51:50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69.0,5.0,7,['G010.47+00.02'],,,71.88,0.84,F
C,10.5114582,-0.0498345,124.675,,0,,,,,0,1,,0,0,0,0,0,0,0,1,0,G010.511-00.050,272.25110544777846,-19.867033275235443,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,10.5183,-0.288184,257.523,,0,,G010.518-00.289,,,0,0,,0,0,0,0,0,0,0,1,0,G010.518-00.289,272.47648327322145,-19.976392870596737,[],G010.518-00.289,G010.518-00.288,10.518,-0.288,272.4761575956458,-19.97656655772636,0.0269,0.0007,19.0,0.6,0.0,0.2,,,,,,,,,,,,,GBT,2.65,5.76,5.21,Linville et al. (2023),2023.0,38.2,1.8,56.7,4.3,0.0044,0.0002,,,,,,,,,,,,,['G010.518-00.289'],,,,,,,,,,,,,,G010.518-00.289,G010.518-00.289,10.518,-0.288,272.4761575956458,-19.97656655772636,Linville et al. (2023),2023.0,38.2,['G010.518-00.289'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,10.521836,0.0621568,103.963,,0,,,,,0,1,,0,0,0,0,0,0,0,1,0,G010.521+00.062,272.15232433870193,-19.80366517215029,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,10.5336,0.0320656,58.1225,,0,,,,,0,0,,0,0,0,0,0,0,0,1,0,G010.533+00.032,272.18635855513077,-19.80796975861924,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,10.5487894,0.0694967,214.844,,0,,,,,0,1,,0,0,0,0,0,0,0,1,0,G010.548+00.069,272.15939612616086,-19.776534348413076,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,10.5704853,0.0551774,73.423,,0,,,,,0,1,,0,0,0,0,0,0,0,1,0,G010.570+00.055,272.1838836078773,-19.76450418152589,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,10.5746,-0.411472,110.16,,1,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,G010.574-00.412;G010.574-00.412,,,0,0,G010.62-00.38,0,0,0,0,0,0,0,1,0,G010.574-00.412,272.62028588145154,-19.986641385238585,['G010.62-00.38'],G010.574-00.412,G010.590-00.417,10.590495606955765,-0.4169680677537321,272.6335698550425,-19.97537174919788,0.55,0.01,18.22,0.55,-0.4,0.2,,,,,,,,,,,,,ATCA,1.1,3.8,7.8,Wenger et al. (2021),2021.0,,,,,,,,,,,,,,,,,,,['G010.574-00.412'],G010.574-00.412,G010.590-00.417,10.590495606955765,-0.4169680677537321,272.6335698550425,-19.97537174919788,Wenger et al. (2021),2021.0,5886.1,207.8,,,['G010.574-00.412'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,0.56,0.63,
G,10.5812,-0.377179,33.2705,,1,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,,,,0,0,G010.62-00.38,1,0,0,0,0,0,0,0,0,G010.581-00.378,272.59171924960447,-19.96430865291226,['G010.62-00.38'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,0.56,0.63,
K,10.5859,-0.0505372,133.725,,0,,G010.586-00.035,,,0,0,,0,0,0,0,0,0,0,1,0,G010.585-00.051,272.2900946505692,-19.802249575631357,[],G010.586-00.035,G010.586-00.035,10.586,-0.035,272.27594139150324,-19.794629127774076,0.033,0.0029,16.5,1.8,65.8,0.9,,,,,,,,,,,,,NRAO 140',6.0,6.0,5.0,"Lockman, Pisano, & Howard (1996)",1996.0,42.2,3.0,25.8,6.5,0.014,0.0017,,,,,,,,,,,,,['G010.586-00.035'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,10.5965,-0.380113,60.0,,0,,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,,,0,0,G010.62-00.38,0,0,0,0,0,0,0,1,0,G010.596-00.381,272.6023104623153,-19.952326008103594,['G010.62-00.38'],G10.597-0.384,G010.597-00.384,10.597,-0.384,272.606188804126,-19.953764351698297,0.04302,0.00237,23.46,1.49,0.56,0.63,,,,,,,,,,,,,VLA/Effelsberg,0.42,5.3,5.7,Khan et al. (2024),2024.0,,,,,,,,,,,,,,,,,,,['G10.597-0.384'],G010.596-00.381,G010.597-00.380,10.597,-0.38,272.6024619366137,-19.951833580234037,Wenger et al. (2019),2019.0,5704.0,72.0,,,['G010.596-00.381'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5978,-0.384,272.60659960112605,-19.953063730934396,Urquhart et al. (2009),2009.0,0.004098630137008823,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,,,
C,10.6071,-0.344329,11.1827,,0,,,,,0,0,G010.62-00.33,0,0,0,0,0,0,0,1,0,G010.607-00.345,272.57441820843064,-19.92576763559442,['G010.62-00.33'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.62-00.33,,18:10:17.9849,-19:54:04.646,0.362,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,52,['G010.62-00.33'],,,,,
G,10.6116,-0.374958,26.6571,,1,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,,,,0,0,G010.62-00.38,1,0,0,0,0,0,0,1,0,G010.611-00.375,272.60526131510466,-19.936613600186764,['G010.62-00.38'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,0.56,0.63,
G,10.6174,-0.335111,23.1408,,1,LA1010,,,,0,0,G010.62-00.33,0,0,0,0,0,0,0,1,0,G010.617-00.336,272.5711221962771,-19.912297110079674,['G010.62-00.33'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005670213488043983,10.6141,-0.3305,272.5651328409698,-19.912960246174045,-5.56,NH3,Wienen et al. (2012),2012.0,G010.62-00.33,,18:10:17.9849,-19:54:04.646,0.362,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,52,['G010.62-00.33'],,,-10.0,0.07,
K,10.617904,-0.4048321,60.224113,,1,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,G010.617-00.405,,,0,0,G010.62-00.38,0,0,0,0,0,0,0,1,0,G010.617-00.405,272.6363312545154,-19.945509961410504,['G010.62-00.38'],G010.617-00.405,G010.619-00.400,10.619,-0.4,272.63239151197746,-19.942218352206897,0.2878,0.002,24.6,0.2,-1.4,0.1,,,,,,,,,,,,,GBT,2.65,5.76,5.21,Linville et al. (2023),2023.0,,,,,,,,,,,,,,,,,,,['G010.617-00.405'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,0.56,0.63,
G,10.618332,-0.3828959,10.756939,,1,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,,,,0,0,G010.62-00.38,1,0,0,0,0,0,0,1,0,G010.618-00.383,272.61611285087207,-19.934549115463174,['G010.62-00.38'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6221,-0.3789,272.61432458410104,-19.929320524846993,Urquhart et al. (2007),2007.0,0.00549227100660494,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,0.56,0.63,
K,10.6211,-0.317772,42.5,,0,,LA1010,,,0,0,G010.62-00.33,1,0,0,0,0,0,0,1,0,G010.621-00.318,272.55687430938633,-19.90068408267291,['G010.62-00.33'],LA1010,G010.621-00.318,10.621,-0.318,272.5570352771265,-19.900881757313268,0.0489,0.00049,15.4,0.18,-10.0,0.07,,,,,,,,,,,,,GBT,1.3,3.0,9.0,Anderson et al. (2015a),2015.0,,,,,,,,,,,,,,,,,,,['LA1010'],,,,,,,,,,,,,,,,,,,,,,,,LA1010,G010.621-00.318,10.621,-0.318,272.5570352771265,-19.900881757313268,Anderson et al. (2015a),2015.0,,nan,['LA1010'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G010.62-00.33,,18:10:17.9849,-19:54:04.646,0.362,0.076,-0.36,0.39,-1.86,0.38,-6.0,5.0,52,['G010.62-00.33'],,,,,
G,10.621551,-0.3796839,14.199258,,1,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,,,,0,0,G010.62-00.38,1,0,0,0,0,0,0,1,0,G010.621-00.380,272.61477302972344,-19.930179681353263,['G010.62-00.38'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6221,-0.3789,272.61432458410104,-19.929320524846993,Urquhart et al. (2007),2007.0,0.0009570267551115907,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,0.56,0.63,
K,10.623214,-0.3841273,21.646369,,1,G10.597-0.384;G010.617-00.384;G010.618-00.384;G010.617-00.38;G010.617-0.38;G010.596-00.381,G010.623-00.385;G10.624-0.384;G010.623-00.385,,,0,0,G010.62-00.38,1,0,0,0,0,0,0,1,0,G010.623-00.385,272.61976633053655,-19.930867725078397,['G010.62-00.38'],G10.624-0.384,G010.624-00.384,10.624,-0.384,272.620051226679,-19.930117899021646,0.07052,0.0025299999999999997,38.69,1.6,0.01,0.68,,,,,,,,,,,,,VLA/Effelsberg,0.42,5.3,5.7,Khan et al. (2024),2024.0,,,,,,,,,,,,,,,,,,,['G10.624-0.384'],G010.623-00.385,G010.623-00.382,10.623408107437823,-0.3823868482890044,272.61824452320434,-19.929857748590216,Wenger et al. (2021),2021.0,9915.2,75.3,,,['G010.623-00.385'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6221,-0.3789,272.61432458410104,-19.929320524846993,Urquhart et al. (2007),2007.0,0.005344685331242851,,,,,,,,,G010.62-00.38,,18:10:28.5628,-19:55:48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3.0,5.0,7,['G010.62-00.38'],,,0.56,0.63,
